node_type_id model_template pop_name ei dynamics_params model_type
100 glif_psc_double_alpha e4Nr5a1 e 354833767_glif_lif_asc_config.json point_neuron
101 glif_psc_double_alpha i4Vip i 501570114_glif_lif_asc_config.json point_neuron
